播放清單 ID,頻道 ID,建立時間,更新時間,標題,說明,瀏覽權限
PLRxHJ_c_TytrBtoSLXqYkhkCKmZmdPF-8,UC-gVtrstQm3mNG45kUFGBPw,2021-01-07 08:19:52 UTC,2021-01-13 04:01:46 UTC,Wendy,,私人

影片 ID,新增時間
2Cwj1pJOVYc,2021-01-07 08:19:52 UTC
I1Yoyz6_Los,2021-01-07 08:20:28 UTC
Ah392lnFHxM,2021-01-07 08:22:29 UTC
kHXxWfSAxik,2021-01-13 04:01:46 UTC

