播放清單 ID,頻道 ID,建立時間,更新時間,標題,說明,瀏覽權限
PLRxHJ_c_TytpYWDYQDJgYKh1iwiO_WULz,UC-gVtrstQm3mNG45kUFGBPw,2015-08-09 10:45:57 UTC,2021-08-09 13:26:39 UTC,Watch later,,私人

影片 ID,新增時間
pfQ2xAMR2hg,2020-11-18 16:43:53 UTC
fs8avQOOxLo,2020-11-18 16:24:05 UTC
IMF4S7AV7Uc,2020-11-18 14:54:49 UTC
 -ESq4cqwW7I,2020-11-18 03:08:07 UTC
nem9P8EVkao,2020-11-17 18:23:22 UTC
hkhyKJj28Ac,2020-11-16 23:03:01 UTC
U6c0nltvvkc,2020-11-16 15:49:58 UTC
ZgG11bEB5X0,2020-11-16 04:19:16 UTC
On2-3r7BgZc,2020-11-16 04:18:20 UTC
1KwaUyjLa4Q,2020-11-15 07:23:01 UTC
2jsHOu4uOA4,2020-11-15 07:22:40 UTC
gm2zYAYtbGQ,2020-11-15 07:22:14 UTC
dgCjUfos29M,2020-11-15 01:08:38 UTC
n4t_-NjY_Sg,2020-11-13 18:26:20 UTC
tJPURyKJAR4,2020-11-13 17:17:39 UTC
FqX8_I2MCmY,2020-11-13 15:19:51 UTC
4039x4r-hGE,2020-11-13 14:03:51 UTC
6I4HvbzDd30,2020-11-13 03:09:50 UTC
OsKQw3qTMMk,2020-11-12 10:09:53 UTC
P270StR1uCA,2020-11-12 10:04:04 UTC
lr57dn0-Zmk,2020-11-09 00:11:31 UTC
CTcG81FK9xs,2020-11-08 18:20:51 UTC
UDqR6gnuemw,2020-11-08 18:20:39 UTC
3YrjvaWlbFA,2020-11-08 18:15:05 UTC
l0HoJHc-63Q,2020-11-07 15:50:11 UTC
le_NLSXWt1E,2020-11-07 11:54:28 UTC
OLsteD3xkPQ,2020-11-06 15:22:09 UTC
jH9Ln-LoneA,2020-11-05 04:14:26 UTC
jOFco1xuIeo,2020-11-04 02:14:48 UTC
hQX-BtFp-Rc,2020-11-01 11:17:39 UTC
T1RkVVVTZ4Y,2020-11-01 07:38:11 UTC
OHQoytCkQUY,2020-10-31 19:43:39 UTC
SEQbb8w7VTw,2020-10-31 01:11:46 UTC
jw98oh8HF5o,2020-10-30 19:06:39 UTC
iN7cAHpBA9s,2020-10-30 19:06:32 UTC
domVw8isGOI,2020-10-30 19:05:49 UTC
8LucP1wiX1g,2020-10-29 20:38:17 UTC
W530d2ZdbJE,2020-10-28 10:12:25 UTC
LgLcfZjNF44,2020-10-28 10:12:16 UTC
dtKciwk_si4,2020-10-28 09:49:17 UTC
KI0bTZ3FEQk,2020-10-28 09:30:07 UTC
A89HnrLytFo,2020-10-27 15:29:10 UTC
l05OHGUyK-E,2020-10-27 10:17:36 UTC
qiHZZIZ-bpE,2020-10-27 10:12:47 UTC
0qaS5JyU77E,2020-10-27 10:03:17 UTC
QzUxLKb52bA,2020-10-27 01:33:47 UTC
1gDhl4leEzA,2020-10-26 15:45:27 UTC
R8_veQiYBjI,2020-10-26 15:43:06 UTC
4hN83v4M__k,2020-10-26 14:35:47 UTC
9-ubSA9GA3o,2020-10-25 05:20:39 UTC
q0KGYwNbf-0,2020-10-25 01:22:52 UTC
HcijbAI4eB0,2020-10-24 18:31:40 UTC
6ptI5B4a-ag,2020-10-24 17:00:23 UTC
XiHDTVz58tI,2020-10-24 05:52:42 UTC
